session,corpus
665,"The design is very p lain but eye-catching.# However, I do not really like the use of space and feel that the picture could be framed in a border.# Underneath the ""Join us..."" task, there is a very poor use of blank space; you could maybe use a different, bigger font, add more logos or anything.# Above the name of ""Illini Dancesport"" is a lot of blank space, as well I feel"
666,The design is well done in my opinion.# I like the earthy tones of colors used for the site for Parkland College. Its very welcoming and easy to navigate from the looks of it.# I feel the design is going to make it easy on the consumers eyes and make it an easy experience to use. 
667,too dark color
674,"I like the design but would make a few changes primarily to the fonts.  I would move the ""Join us ...."" portion down on the page a little bit and make the font about 20 percent bigger.# Also, I would consider making the date and time a different color. It does not catch my eye as it stands now and I feel like I really have to search for it. "
675,"Very good design.. #Left side bottom blank only. # No any other changes.. #
I like this work.. "
676,The top portion that is in  blue in color can be made broader.
678,I like the logo colors and design
678,this area looks a little dull compared to the other blocks and banners
678,nice graphic but this takes up quite a lot of space and doesn't communicate much
678,this area could use more promotion since people will go here looking for specifics
678,I assume this is promoting on campus events but probably needs a banner or heading
679,"the idea of this application is unique, it seems like a social networking site. #how the bank details of person is secure? is there is enough privacy policies to protect the data from public?# the page design is simple, understandable and easy to follow. it is visually appealing."
681,"I hope this link will lead to a video introducing the community, what visitors can expect, local attractions and culture. A video would make future students feel welcome."
683,"I like the layout. # I think the color scheme works well.  #Personally, I wouldn't change anything on it.  I would put it out there knowing if anything minor tweaks can be made as needed.  It looks to me like it is ready to be released.//Thanks"
684,The outline of the image is a little lazy. 
684,The wording across comes off oddly. 
684,Would choose different colors that stand out better.
686,"The logo must  come at top before title and it must be large.# The sentence written at the bottom should be brightened.#
DANCE should be of different colour. #There should be a name and contact details of a person to contact.#Optional: A slogan can be added."
687,"I would like a space between dance and sport. When it's together like that, it's hard to read.# Also, the color for the text of Open House 2015 and the other texts that match that color would look better if the text color was white. It will be bright and stand out more.# Last, in the section that says Join us for an evening of...after that, I would put a :, then a dash, etc. Below is an example of how I would do it.
Join us for an evening of:
-dance performances
-FREE dance lessons
Showcasing 4 styles of ballroom dance!"
688,"I would make the font here larger, I cant read it at all."
688,Make this logo just a  tad larger.
688,"I think the font here could be different, at least for this one word, like more interesting, something with movement."
688,"Determine this location, that seems vital."
688,I would just change up the font a bit. Its all the same and its a bit boring.# I like everything else.
690,A panel on the right side of the page which will enable the user to have a better control over the financial data.# At the same time there is not data showing the history or rating of the friend.
692,"The ""information for"" section is too big, maybe make it a little smaller. #Also, the news and campus events section has font too small. Make it a little bigger and it would be great. #Another thing might be to get rid of a little of the green, seems like there is too much there. #Maybe move the ads to the top of the page so they don't interfere with the information sections. #Make the Contact us section more readily available as it can not be seen on the page as well as other sections. #The font in the top where you choose a section seems a bit too basic, add a new style to it and make it a little more stylish. #Make the background look more modern, it looks more like a blog than it does a website as is right now."
696,Alittle more information would be nice. Is this to get students for a dance class? How long does it last? what is the attire? are there refreshments?
699,Only name of the payee and received is specified but here the user photo and other identification mark can be included in order to improve the transaction effectively and safely
706,"nice font
"
706,easy use options
706,"adding a photo is great so people can make sure to send money to the right friend
"
706,"nice to see what still needs to be done to use venmo
"
708,"I think this graphic could stand out more, perhaps another color as well. "
708,This text should really stand out. Looks like it's left in the background
708,background could be a lot better. dark black will use a lot of ink! 
717,"this is unclear and hard to read, I would make it larger so people can tell what it is."
717,"kind of a weird empty gap, might be able to rearrange things a little better so it doesn't look so scattered and awkward."
717,"nice,# bold text, #easy to read."
717,"this text is all a bit pushed together, spread it out and make the text size a bit larger."
717,"nice, simple graphic that adds to the appeal of the flier. "
717,"spread this out a bit more, it's a little crowded."
717,"nice description, but maybe make it bold or in another color so it stands out, this is what it's all about, after all."
717,how will you get this information out once you have it? Maybe wait to put up fliers until you know this.
718,I would prefer that these buttons be rectangular.
718,The avatars of users who haven't yet added a photograph should instead be a procedurally generated image of their initials.
718,Reconsider the design of this logo.
719,change back ground color some make it more noticeable/ more of a contrast  
719,I like this very easy 
719,Add FAQ 
719,have a button to add new groups 
719,Is this the total in the account? Not 100% clear
720,"The design and layout is not much attracting,can be given a good color background.#The money transfers are public so it may hamper the privacy of the sender and receiver,so the aspect of privacy should be demonstrated or used."
721,what does this blank do? Is this where you put a dollar amount?
721,can you search by first and last name?
721,I like this feature
721,This is a good feature
721,I would add an FAQ section here
723,"I like the background being black and it offsets the fonts well.# White might be a better choice for most of the lettering, rather than yellow, and with a change to the to the size of the fonts to make them larger.# I think you may need a little more detail on the dress requirements, and what is included for the open house (meet so and so, have refreshments, etc. to entice people to show up! "
725,These status/checklist bars are helpful for new users. I appreciate seeing these on apps I'm new to.  
725,"Customizing profile with a photo is a nice option.
"
725,An organized way to keep tabs on friends who have the app. 
725,"Seems like a very easy one-click system to get going with exchanging money. Nice.
"
725,I always appreciate not having to search all over a page for the Settings tab. This is a perfect place for it. 
725,This timeline is attractive and easy to understand. 
725,I appreciate being able to easily see the current balance without having to go to a specific payments page. 
730,"I like see progress in % and a bar that helps me visualize
 "
730,"With money issues I don't want me photo going out to everyone. 
"
732,I like to venmo queen
735,This graphic is very stylish and visually pleasing. It was the first design element that grabbed my attention.
735,"What styles of dance will the lessons be based on? I would like to know so I can invite friends who might be interested in learning with me.
"
735,It's really difficult to read the text in this logo. Make it bigger so that it fills the whole upper left corner.
735,Move this text over and above the other headline text to make more space for the logo image.
735,"Is this for students only, or is the general public invited too?"
735,I love the purple against the black and how it matches the image below. It really stands out from a distance.
745,"The design is good#, but the graphic could be cleaned up a bit. It is a little choppy and hte corners aren't smooth. "
746,"The ad is very attractive#, I love the purple over the black. It is a very sleek and stylish but still simple and easy to understand.  Not too much information or clutter but enough to draw interest."
747,"The menu in the top part should be moved little down atleast the height of the site name.#There should be a big banner on the top.#
The image should be of full width.#There is also a left blank area on the left side which should be filled off.#Make the text of the menu little bigger."
749,The design is average i feel. #I think the color scheme could have make better. #The font can also be changed to make a good feel. 
750,I feel that this entire header and logo needs to be moved slightly higher on the page.  It feels a little out of balance.  
750,"I like the figures and their overall color.  #However, the color is not perfectly uniform and the edges show a lot of aliasing.  I feel this section should be refined and anti-aliased better.  GIMP has a great anti-aliasing feature.  "
750,"I am not too sure about the flat black background.  Perhaps you should experiment with a very deep purple (almost black) which would give the illusion of depth.  #Also, this background uses a lot of ink and will be more difficult to print without smearing.  "
