history-2d,nohistory-2d,history-text,nohistory-text,,,,,,,
102.18,109.68,123.59,118.26,,,,,history,2d,102.18
105.71,115.36,125.41,128.33,,,,,history,2d,105.71
106.2,128.18,135.76,132.57,,,,,history,2d,106.2
106.43,154.08,138.64,140.72,,,,,history,2d,106.43
1118.78,183.83,140.36,142.09,,,,,history,2d,1118.78
1123.51,185.36,148.62,165.63,,,,,history,2d,1123.51
113.16,188.3,167.32,183.07,,,,,history,2d,113.16
122.71,188.73,177.13,220.19,,,,,history,2d,122.71
130.34,196.6,189.34,224.59,,,,,history,2d,130.34
130.83,206.68,193.77,228.69,,,,,history,2d,130.83
130.9,229.56,197.44,247.97,,,,,history,2d,130.9
150.18,232.55,207.56,248.11,,,,,history,2d,150.18
152.36,244.33,210.61,263.96,,,,,history,2d,152.36
258.37,286.36,248.28,264.52,,,,,history,2d,258.37
319.36,30.23,271.98,275.4,,,,,history,2d,319.36
319.44,341.2,281.98,283.42,,,,,history,2d,319.44
322.63,349.57,315.55,292.62,,,,,history,2d,322.63
322.94,383.5,327.06,32.99,,,,,history,2d,322.94
328.94,449.62,354.22,336.62,,,,,history,2d,328.94
353.6,52.08,360.24,348.01,,,,,history,2d,353.6
429.28,56.54,365.41,366.6,,,,,history,2d,429.28
52.21,676.75,408.76,46.09,,,,,history,2d,52.21
66.82,77.33,47.73,483.41,,,,,history,2d,66.82
71.84,83.84,566.37,69.97,,,,,history,2d,71.84
726.26,90.07,570.21,77.56,,,,,history,2d,726.26
81.61,93.27,65.11,86.56,,,,,history,2d,81.61
83.28,96.14,87,86.97,,,,,history,2d,83.28
,,,,,,,,nohistory,2d,109.68
,,,,,,,,nohistory,2d,115.36
,,,,,,,,nohistory,2d,128.18
,,,,,,,,nohistory,2d,154.08
,,,,,,,,nohistory,2d,183.83
,,,,,,,,nohistory,2d,185.36
,,,,,,,,nohistory,2d,188.3
,,,,,,,,nohistory,2d,188.73
,,,,,,,,nohistory,2d,196.6
,,,,,,,,nohistory,2d,206.68
,,,,,,,,nohistory,2d,229.56
,,,,,,,,nohistory,2d,232.55
,,,,,,,,nohistory,2d,244.33
,,,,,,,,nohistory,2d,286.36
,,,,,,,,nohistory,2d,30.23
,,,,,,,,nohistory,2d,341.2
,,,,,,,,nohistory,2d,349.57
,,,,,,,,nohistory,2d,383.5
,,,,,,,,nohistory,2d,449.62
,,,,,,,,nohistory,2d,52.08
,,,,,,,,nohistory,2d,56.54
,,,,,,,,nohistory,2d,676.75
,,,,,,,,nohistory,2d,77.33
,,,,,,,,nohistory,2d,83.84
,,,,,,,,nohistory,2d,90.07
,,,,,,,,nohistory,2d,93.27
,,,,,,,,nohistory,2d,96.14
,,,,,,,,history,text,123.59
,,,,,,,,history,text,125.41
,,,,,,,,history,text,135.76
,,,,,,,,history,text,138.64
,,,,,,,,history,text,140.36
,,,,,,,,history,text,148.62
,,,,,,,,history,text,167.32
,,,,,,,,history,text,177.13
,,,,,,,,history,text,189.34
,,,,,,,,history,text,193.77
,,,,,,,,history,text,197.44
,,,,,,,,history,text,207.56
,,,,,,,,history,text,210.61
,,,,,,,,history,text,248.28
,,,,,,,,history,text,271.98
,,,,,,,,history,text,281.98
,,,,,,,,history,text,315.55
,,,,,,,,history,text,327.06
,,,,,,,,history,text,354.22
,,,,,,,,history,text,360.24
,,,,,,,,history,text,365.41
,,,,,,,,history,text,408.76
,,,,,,,,history,text,47.73
,,,,,,,,history,text,566.37
,,,,,,,,history,text,570.21
,,,,,,,,history,text,65.11
,,,,,,,,history,text,87
,,,,,,,,nohistory,text,118.26
,,,,,,,,nohistory,text,128.33
,,,,,,,,nohistory,text,132.57
,,,,,,,,nohistory,text,140.72
,,,,,,,,nohistory,text,142.09
,,,,,,,,nohistory,text,165.63
,,,,,,,,nohistory,text,183.07
,,,,,,,,nohistory,text,220.19
,,,,,,,,nohistory,text,224.59
,,,,,,,,nohistory,text,228.69
,,,,,,,,nohistory,text,247.97
,,,,,,,,nohistory,text,248.11
,,,,,,,,nohistory,text,263.96
,,,,,,,,nohistory,text,264.52
,,,,,,,,nohistory,text,275.4
,,,,,,,,nohistory,text,283.42
,,,,,,,,nohistory,text,292.62
,,,,,,,,nohistory,text,32.99
,,,,,,,,nohistory,text,336.62
,,,,,,,,nohistory,text,348.01
,,,,,,,,nohistory,text,366.6
,,,,,,,,nohistory,text,46.09
,,,,,,,,nohistory,text,483.41
,,,,,,,,nohistory,text,69.97
,,,,,,,,nohistory,text,77.56
,,,,,,,,nohistory,text,86.56
,,,,,,,,nohistory,text,86.97
