history-2d,nohistory-2d,history-text,nohistory-text
67,13,85,115
73,14,87,116
75,30,89,120
79,30,92,123
84,36,94,129
89,52,117,132
105,56,117,139
107,68,119,181
115,83,124,191
125,91,128,198
125,105,128,212
128,109,149,217
133,111,167,238
147,116,184,252
161,116,191,255
168,131,194,256
173,170,223,268
174,171,231,279
184,188,242,281
184,202,262,294
185,229,269,322
186,230,280,334
207,246,300,346
215,252,307,370
247,268,326,388
309,286,341,393
311,299,342,428
347,371,343,465
351,440,349,475
364,547,372,524
367,565,382,531
385,586,382,576
505,629,393,717
506,659,413,846
