history-2d,nohistory-2d,history-text,nohistory-text
351,131,372,255
215,659,342,524
75,629,149,116
79,1126,393,198
67,36,128,531
128,230,89,465
186,268,128,217
125,171,262,268
505,572,191,322
29,298,231,857
367,117,124,139
184,93,413,120
184,126,300,238
133,280,184,281
269,473,382,576
253,225,341,428
226,302,117,123
40,123,382,393
481,538,61,132
32,214,269,191
213,223,87,388
17,171,85,475
132,197,108,212
163,179,312,332
246,156,483,139
188,35,53,425
63,334,423,278
472,327,118,332
231,46,181,459
171,14,285,313
347,170,92,279
311,229,242,717
147,188,280,129
73,246,117,846
84,586,194,294
309,91,119,346
105,299,167,61
759,83,223,115
506,52,94,370
364,30,343,256
89,109,349,252
247,202,326,334
168,116,307,181
174,192,678,121
39,356,254,248
32,263,241,193
164,274,332,394
284,120,270,148
96,409,84,374
104,225,301,53
146,24,621,276
298,287,132,565
38,396,472,514
55,257,124,156
153,465,1031,138
463,66,209,108
101,340,109,74
171,295,72,175
180,192,183,113
113,565,371,520
161,286,62,278
207,105,471,194
185,56,278,177
173,371,173,225
125,440,326,21
385,116,159,288
115,68,773,184
107,111,754,348
482,30,298,156
155,547,276,100
86,252,485,113
169,331,60,133
106,961,437,128
168,128,134,85
112,576,143,275
171,17,62,594
80,230,161,482
49,45,284,327
42,159,255,108
154,285,142,433
57,23,85,349
314,207,42,323
47,150,761,162
262,211,207,114
196,40,158,42
216,250,139,195
61,119,441,69
428,-1,142,134
130,-1,361,252
53,-1,453,318
