history-text,history-2d,nohistory-2d,nohistory-text
40,42,10,26
39,24,80,55
15,4,68,12
51,7,113,20
13,7,4,37
0,8,24,43
12,13,27,16
27,15,19,23
19,48,64,35
21,3,34,91
12,33,11,14
38,20,9,13
28,23,17,27
23,8,26,31
45,28,32,47
35,29,30,36
9,29,38,8
54,3,15,42
7,55,50,6
31,0,24,11
9,26,24,41
8,1,13,41
15,11,23,15
33,14,25,32
43,25,16,12
4,24,0,49
38,5,29,31
15,41,34,35
18,23,9,51
29,17,1,26
8,34,10,33
29,44,29,92
32,9,22,15
12,10,21,69
17,11,61,35
15,33,10,28
14,13,26,3
28,84,11,12
7,41,6,41
40,30,2,28
40,9,8,29
37,26,20,37
29,19,10,21
72,19,24,13
17,4,32,32
21,2,20,19
30,18,41,46
25,28,9,15
10,8,50,37
24,12,24,5
58,18,0,29
14,26,26,70
55,1,32,47
0,9,31,17
99,15,57,11
23,46,9,9
11,10,41,0
6,18,27,21
15,22,15,10
33,10,52,52
7,22,29,21
54,17,6,25
32,20,6,16
15,22,44,22
26,15,41,2
17,36,12,33
87,7,9,15
102,5,5,34
38,48,3,15
27,15,56,13
49,7,25,7
2,2,33,10
52,11,91,14
11,16,12,7
16,15,70,31
4,10,1,69
16,10,26,50
25,5,4,38
22,2,15,10
12,18,33,43
7,1,1,37
3,29,19,38
72,4,11,15
16,28,28,11
13,23,4,3
18,18,30,22
38,4,9,4
14,34,-1,12
36,11,-1,25
52,2,-1,37
