history-text,history-2d,nohistory-2d,nohistory-text
123.87,247.62,115.38,669.18
252.43,125.86,253.40,348.30
1625.31,177.26,397.22,30.20
199.64,86.30,654.28,404.59
75.46,69.84,59.30,292.75
46.93,389.00,189.73,118.68
191.92,175.52,138.38,419.29
120.03,374.13,162.70,84.36
972.66,745.69,310.50,212.55
178.88,103.70,198.20,268.34
163.44,197.42,47.86,113.62
261.11,184.06,90.32,94.03
122.12,147.62,96.33,364.60
65.62,135.10,311.08,105.36
109.24,201.32,792.74,381.47
180.58,491.63,89.67,292.20
179.42,165.39,320.81,61.52
118.32,55.99,94.50,140.77
91.64,280.95,237.08,79.35
460.63,71.27,113.46,299.55
177.90,203.98,217.15,238.48
157.16,98.46,465.13,352.99
64.73,188.27,148.19,221.34
198.45,413.35,95.65,148.01
286.48,548.33,68.67,76.67
77.56,156.08,36.39,206.75
218.02,219.61,269.68,80.02
10.18,131.33,297.43,201.38
199.74,153.36,89.10,345.01
165.45,152.21,108.35,288.88
128.08,348.95,213.18,87.28
307.32,217.95,164.88,210.50
258.20,590.03,483.80,128.11
62.01,131.53,285.33,497.26
341.18,139.09,439.21,80.67
208.90,626.19,146.30,187.24
49.77,68.52,277.08,143.89
58.21,544.81,89.63,81.82
190.56,391.81,75.94,100.98
450.95,588.19,143.83,345.32
102.57,59.69,88.57,91.52
309.28,234.79,182.75,81.55
311.43,300.89,159.98,55.69
395.86,123.57,260.96,58.38
174.71,136.01,215.89,176.88
88.34,67.10,114.12,161.40
149.04,695.13,109.93,321.58
913.01,266.47,175.57,145.18
165.90,75.88,223.52,280.88
445.11,308.21,188.46,175.12
188.61,136.52,87.79,304.55
156.88,138.80,204.28,266.07
260.63,34.70,165.20,544.37
123.53,72.60,191.04,87.55
552.59,176.19,421.77,233.26
60.37,548.07,164.56,55.81
179.83,91.40,278.00,46.92
128.46,193.58,119.80,102.22
234.01,182.33,228.26,49.18
117.78,134.79,241.85,159.74
122.19,140.55,168.13,319.14
410.48,211.41,438.59,236.40
324.89,215.18,143.86,823.79
369.48,131.00,253.53,272.71
683.64,178.55,439.67,73.42
60.89,335.96,167.56,162.46
354.74,163.37,66.97,227.78
251.26,271.50,303.06,356.25
193.99,532.06,75.82,304.78
485.81,189.60,274.28,116.23
271.87,58.31,508.18,77.67
129.38,338.86,182.78,61.00
196.92,141.82,395.49,65.27
128.57,359.00,149.06,76.45
818.44,163.97,316.64,194.65
59.75,563.83,33.37,260.04
175.11,195.78,244.61,234.07
336.62,49.54,194.02,105.85
114.34,67.12,85.82,75.47
176.78,276.25,184.14,210.35
48.83,121.46,23.46,139.53
43.00,305.01,157.45,142.12
346.59,21.17,202.96,71.86
115.57,893.51,81.68,103.16
198.22,185.62,70.46,40.98
70.25,159.17,185.86,98.98
462.25,167.19,105.43,69.37
77.98,211.93,,619.12
139.12,104.60,,173.21
292.13,36.78,,246.42
