history-2d,nohistory-2d,history-text,nohistory-text
123.57,115.38,109.24,105.36
125.86,138.38,118.32,113.62
131.00,143.83,120.03,118.68
131.53,143.86,122.12,128.11
135.10,146.30,123.87,140.77
139.09,159.98,128.08,143.89
140.55,16.54,157.16,187.24
147.62,162.70,1625.31,210.50
163.37,164.88,163.44,212.55
175.52,167.56,177.90,221.34
177.26,168.13,178.88,238.48
178.55,182.75,179.42,268.34
184.06,189.73,180.58,292.20
197.42,213.18,190.56,292.75
211.41,241.85,191.92,299.55
215.18,253.40,199.64,30.20
217.95,253.53,208.90,345.32
234.79,274.28,252.43,348.30
247.62,277.08,258.20,352.99
271.50,285.33,261.11,364.60
300.89,303.06,307.32,381.47
335.96,397.22,309.28,404.59
348.95,438.59,311.43,419.29
374.13,439.21,341.18,497.26
389.00,439.67,395.86,55.69
391.81,483.80,450.95,61.52
544.81,508.18,46.93,669.18
588.19,59.30,460.63,79.35
59.69,654.28,49.77,80.67
590.03,66.97,58.21,81.55
626.19,75.82,62.01,81.82
68.52,75.94,65.62,84.36
69.84,83.25,75.46,87.28
745.69,88.57,91.64,91.52
