history,nohistory,2d,text
109.24,108.35,115.38,114.34
118.32,113.62,123.57,117.78
120.03,115.38,125.86,118.32
122.12,118.68,131.00,120.03
123.57,128.11,131.53,122.12
123.87,138.38,135.10,122.19
125.86,140.77,138.38,123.53
128.08,143.83,139.09,123.87
131.00,143.86,140.55,128.08
131.53,143.89,143.83,128.46
135.10,146.30,143.86,128.57
139.09,159.98,146.30,129.38
140.55,16.54,147.62,149.04
147.62,161.40,159.98,156.88
157.16,162.70,16.54,157.16
1625.31,164.88,162.70,1625.31
163.37,167.56,163.37,163.44
163.44,168.13,164.88,165.90
175.52,176.88,167.56,174.71
177.26,182.75,168.13,175.11
177.90,187.24,175.52,176.78
178.55,189.73,177.26,177.90
178.88,210.50,178.55,178.88
179.42,212.55,182.75,179.42
180.58,213.18,184.06,179.83
184.06,221.34,189.60,180.58
189.60,238.48,189.73,188.61
190.56,241.85,197.42,190.56
191.92,253.40,211.41,191.92
197.42,253.53,213.18,193.99
199.64,268.34,215.18,196.92
208.90,274.28,217.95,199.64
211.41,277.08,234.79,208.90
215.18,285.33,241.85,234.01
217.95,292.20,247.62,251.26
234.79,292.75,253.40,252.43
247.62,299.55,253.53,258.20
252.43,30.20,271.50,260.63
258.20,303.06,274.28,261.11
261.11,345.32,277.08,271.87
271.50,348.30,285.33,307.32
300.89,352.99,300.89,309.28
307.32,364.60,303.06,311.43
309.28,381.47,335.96,324.89
311.43,397.22,348.95,336.62
335.96,404.59,374.13,341.18
341.18,419.29,389.00,354.74
348.95,438.59,391.81,369.48
374.13,439.21,397.22,395.86
389.00,439.67,438.59,410.48
391.81,483.80,439.21,445.11
395.86,497.26,439.67,450.95
450.95,508.18,483.80,46.93
46.93,55.69,508.18,460.63
460.63,58.38,532.06,48.18
49.77,59.30,544.81,48.83
532.06,61.52,58.31,485.81
544.81,654.28,588.19,49.77
58.21,66.97,59.30,552.59
58.31,669.18,59.69,58.21
588.19,75.82,590.03,59.75
59.69,75.94,626.19,60.37
590.03,79.35,654.28,60.89
62.01,80.67,66.97,62.01
626.19,81.55,68.52,65.62
65.62,81.82,69.84,669.18
68.52,83.25,745.69,683.64
69.84,84.36,75.82,75.46
745.69,87.28,75.94,818.44
75.46,88.57,83.25,88.34
86.30,89.63,86.30,91.64
