history,nohistory,2d,text
30,28,30,50
38,41,38,59
46,44,44,68
47,47,46,68
47,48,47,80
49,48,47,81
50,48,48,81
50,58,48,83
56,71,48,86
58,72,49,88
59,74,50,90
63,74,56,90
65,74,58,92
66,75,63,94
69,86,65,95
70,88,66,97
72,93,69,103
79,94,70,117
79,95,71,119
80,97,72,137
83,102,72,138
85,105,74,142
86,107,79,143
90,117,79,148
92,122,83,148
94,131,85,150
101,137,101,155
110,143,102,161
118,143,110,165
126,144,118,166
138,145,126,175
141,145,131,178
142,148,141,183
146,151,144,184
148,151,145,189
150,151,146,191
150,154,148,195
155,172,150,196
172,173,151,196
172,175,151,198
172,175,151,201
175,179,172,201
185,186,172,202
189,198,172,203
191,201,175,212
192,202,175,212
193,212,179,215
196,223,185,215
198,238,186,223
202,242,192,224
215,247,193,233
225,252,201,237
228,257,202,251
232,257,225,260
232,261,228,264
236,272,232,272
239,292,232,275
251,298,236,276
265,305,239,277
266,306,257,280
272,319,265,280
297,325,266,290
297,335,272,297
307,339,292,325
336,377,297,326
364,384,307,336
364,386,364,393
371,389,364,403
383,395,371,409
409,404,383,415
415,407,384,420
423,452,437,423
437,471,452,444
452,478,471,452
517,480,517,522
545,501,527,532
617,502,545,673
673,518,554,682
682,527,556,1038
773,554,617,1068
791,556,773,1170
