history,nohistory,2d,text
105.71,109.99,102.55,107.71
106.20,115.36,105.71,107.97
106.43,116.18,106.20,108.52
107.90,118.26,106.43,109.49
107.97,1207.34,107.90,110.90
1118.78,124.19,109.68,121.48
1123.51,127.74,1118.78,123.59
113.16,128.18,1123.51,125.41
115.84,128.33,113.16,126.20
120.65,132.57,115.36,128.63
122.71,140.72,115.84,130.36
123.59,142.09,120.65,130.98
123.86,153.62,122.71,131.20
125.41,154.08,123.86,135.76
128.17,154.54,128.17,136.55
130.34,155.24,128.18,138.64
130.83,160.68,130.34,140.21
130.90,165.63,130.83,140.36
135.76,173.88,130.90,142.60
138.64,183.07,143.66,146.30
140.36,183.83,150.18,148.62
143.66,185.36,152.36,150.57
148.62,188.30,154.08,157.24
150.18,188.73,1556.32,158.76
152.36,196.09,156.69,159.07
1556.32,196.60,160.59,167.32
156.69,206.68,161.73,168.75
160.59,220.19,166.14,174.00
161.73,224.59,183.83,176.39
166.14,228.69,185.36,177.13
167.32,229.56,188.30,179.85
177.13,232.55,188.73,189.34
189.34,233.27,194.70,193.77
193.77,244.33,196.60,197.44
194.70,247.97,206.68,197.94
197.44,248.11,228.32,198.89
207.56,263.96,229.56,205.64
210.61,264.52,232.55,207.56
228.32,270.57,236.47,207.88
236.47,275.40,244.33,210.61
246.19,283.42,246.19,212.43
248.28,286.36,250.96,220.27
250.96,287.23,252.91,224.33
252.91,292.62,258.37,224.54
258.37,30.23,286.36,225.23
271.98,310.58,293.10,234.23
281.98,32.99,30.23,237.10
293.10,336.62,319.36,245.59
315.55,341.20,319.44,248.28
319.36,348.01,322.63,271.98
319.44,349.57,322.94,275.02
322.63,349.60,328.94,279.59
322.94,366.60,341.20,281.98
327.06,383.50,349.57,287.09
328.94,415.83,353.60,315.55
353.60,446.24,383.50,327.06
354.22,449.62,393.34,354.22
360.24,459.76,417.77,360.24
365.41,46.09,429.28,364.94
393.34,483.41,447.89,365.41
408.76,52.08,449.62,37.86
417.77,546.92,452.60,408.76
429.28,56.54,483.03,417.71
447.89,590.25,483.16,45.78
452.60,64.61,52.08,47.73
47.73,676.75,52.21,470.57
483.03,69.97,56.54,48.52
483.16,73.77,65.25,488.16
52.21,75.40,66.82,52.35
566.37,77.33,676.75,53.38
570.21,77.56,71.84,56.63
65.11,80.43,726.26,566.37
65.25,81.57,77.33,570.01
66.82,83.84,81.61,570.21
71.84,86.56,82.78,65.11
726.26,86.97,83.28,672.86
81.61,88.90,83.84,704.38
82.78,89.15,90.07,81.24
83.28,90.07,93.27,84.75
87.00,93.27,96.14,86.15
96.31,96.14,96.31,87.00
