history,nohistory,2d,text
1.75,1.0,1.0,1.0
1.8,1.0,1.0,1.57142857143
2.25,1.0,1.5,1.8
2.33333333333,1.0,1.75,2.0
2.4,1.66666666667,2.09090909091,2.0
2.42857142857,2.09090909091,2.14285714286,2.25
2.5,2.14285714286,2.22222222222,2.33333333333
2.5,2.14285714286,2.25,2.82926829268
2.66666666667,2.2,2.4,2.83333333333
2.66666666667,2.22222222222,2.42857142857,2.85714285714
2.82926829268,2.5,2.5,2.86363636364
2.85714285714,2.52380952381,2.5,3.07692307692
3.07692307692,2.66666666667,2.66666666667,3.17391304348
3.25,2.77777777778,2.66666666667,3.25
3.31818181818,2.77777777778,2.77777777778,3.3125
3.38461538462,2.8,2.85714285714,3.31818181818
3.4347826087,2.88888888889,2.88888888889,3.33333333333
3.45454545455,3.0,3.38461538462,3.4
3.45454545455,3.0,3.4,3.42105263158
3.45833333333,3.08333333333,3.45454545455,3.4347826087
3.54166666667,3.14285714286,3.45454545455,3.5
3.54166666667,3.25,3.45833333333,3.5
3.66666666667,3.38461538462,3.54166666667,3.57142857143
3.66666666667,3.4,3.54166666667,3.58333333333
3.66666666667,3.5,3.58333333333,3.8
3.75,3.5,3.66666666667,3.8
3.8,3.58333333333,3.66666666667,3.85714285714
3.8,3.625,3.66666666667,3.875
3.8,3.71428571429,3.75,3.88888888889
3.83333333333,3.75,3.75,4.0
3.875,3.8,3.8,4.05882352941
3.88888888889,3.88888888889,3.83333333333,4.07352941176
4.0,3.92,3.875,4.08333333333
4.0,3.95652173913,3.88888888889,4.08333333333
4.05882352941,4.0,4.0,4.1
4.1,4.0,4.0,4.12
4.125,4.0,4.13636363636,4.125
4.13636363636,4.10344827586,4.14285714286,4.26666666667
4.14285714286,4.12121212121,4.17647058824,4.26923076923
4.17647058824,4.2,4.2,4.28571428571
4.25,4.2,4.2,4.3
4.25,4.20689655172,4.25,4.33333333333
4.25,4.22727272727,4.25,4.375
4.28571428571,4.4,4.25,4.4
4.375,4.4,4.28571428571,4.43333333333
4.4,4.4,4.4,4.46153846154
4.44736842105,4.42857142857,4.4,4.47368421053
4.46153846154,4.5,4.4,4.5
4.5,4.5,4.44736842105,4.52631578947
4.5,4.53846153846,4.5,4.52941176471
4.5,4.55555555556,4.5,4.5303030303
4.52631578947,4.6,4.5,4.55
4.52941176471,4.6,4.53846153846,4.55555555556
4.54545454545,4.625,4.54545454545,4.57142857143
4.54545454545,4.625,4.54545454545,4.57142857143
4.55555555556,4.63157894737,4.63636363636,4.63636363636
4.57142857143,4.66666666667,4.66666666667,4.66666666667
4.57142857143,4.77777777778,4.7,4.66666666667
4.63636363636,4.77777777778,4.75,4.71428571429
4.66666666667,4.8,4.77777777778,4.75
4.66666666667,4.81818181818,4.77777777778,4.88888888889
4.7,4.85714285714,4.8,5.0
4.75,4.91666666667,4.85714285714,5.0
4.88888888889,5.0,4.91666666667,5.0
5.0,5.25,5.0,5.0
5.125,5.33333333333,5.125,5.08333333333
5.16666666667,5.38461538462,5.16666666667,5.08333333333
5.28571428571,5.4,5.25,5.2
5.33333333333,5.5,5.28571428571,5.26666666667
5.37037037037,5.5,5.37037037037,5.33333333333
5.66666666667,5.57142857143,5.5,5.57142857143
6.0,5.64285714286,5.57142857143,5.6
6.33333333333,5.69230769231,6.33333333333,5.66666666667
6.75,5.96774193548,6.45454545455,5.77777777778
6.75,6.33333333333,6.75,6.0
7.0,6.375,7.0,6.25
7.0,6.45454545455,7.0,6.38461538462
7.0,6.5,7.0,6.75
7.0,7.0,7.0,6.8
7.5,7.0,7.5,6.875
7.55555555556,7.90909090909,7.55555555556,7.0
